Nome,ID_CRE,7 a 14 anos,10 a 14 anos,15 a 17 anos,18 a 24 anos,15 anos ou mais,25 anos ou mais,Extrema Pobreza,Pobreza,Baixa Renda,Acima de 1/2 SM,Quantidade de Famílias não,Quantidade de Famílias sim
Abolição,3,4.46,01.03,1.34,0.64,1.79,1.99,781,23,114,302,502,718
Acari,6,11.02,5.38,0.00,1.80,6.35,8.11,5337,1212,1216,984,3113,5636
ÁguaSanta,3,4.46,01.03,1.34,0.64,1.79,1.99,744,19,107,174,327,717
AltoBoaVista,2,1.72,0.30,0.35,0.15,1.27,1.45,428,137,224,307,627,469
Anchieta,6,03.05,0.62,0.00,0.25,2.63,3.30,5159,918,1365,1516,3666,5292
Andaraí,2,03.02,0.80,0.00,0.00,02.01,2.39,1673,350,572,767,1662,1700
Bancários,11,2.75,1.78,0.00,1.73,3.36,3.87,708,270,398,372,918,830
Bangu,8,4.11,1.62,1.21,03.02,3.72,04.06,19777,3033,3970,5171,12173,19778
BarradaTijuca,6,1.91,0.51,0.42,0.37,0.32,0.31,315,59,145,275,489,305
BarraDeGuaratiba,10,6.20,1.55,0.27,0.91,5.54,6.94,429,66,109,192,368,428
BarrosFilho,6,9.75,3.37,0.00,1.44,06.04,7.63,1850,377,442,431,1205,1895
Benfica,1,11.70,7.18,1.54,1.82,6.88,8.33,4044,530,773,1120,2521,3946
BentoRibeiro,5,2.15,0.00,01.09,0.00,1.31,1.52,2183,278,605,864,1805,2125
Bonsucesso,4,6.15,1.33,0.00,1.39,2.48,2.80,1571,199,389,607,1234,1532
ComplexodoAlemão,3,7.23,2.67,3.60,1.36,6.81,8.38,12781,1883,2784,2806,7201,13053
Botafogo,2,2.17,0.84,2.30,0.45,1.21,1.26,1466,151,613,1254,2118,1366
BrásdePina,4,2.71,0.38,0.00,0.45,1.82,2.19,4405,404,998,1341,2872,4276
Cachambi,3,0.67,0.00,1.41,0.83,0.66,0.61,1443,105,355,644,1173,1374
Cacuia,11,5.29,3.94,0.00,0.83,2.62,03.03,487,176,265,347,724,551
Caju,1,2.51,0.00,1.73,0.35,5.73,7.18,5620,302,861,1127,2531,5379
Camorim,7,6.50,3.41,2.95,1.65,6.18,7.40,533,117,181,216,479,568
Campinho,5,3.45,1.32,0.00,0.36,1.55,1.82,705,109,196,230,525,715
CampodosAfonsos,8,2.83,1.30,0.00,0.03,1.12,1.37,9,0,3,6,12,6
CampoGrande,10,3.71,1.56,0.39,0.84,2.45,2.88,28845,2372,4928,8330,16825,27650
Cascadura,5,5.62,2.44,0.00,1.45,2.83,3.27,2453,265,598,741,1657,2400
Catete,2,0.76,1.10,0.00,0.00,2.14,2.47,663,56,190,335,619,625
Catumbi,1,7.46,5.16,0.74,01.08,4.45,5.31,1546,259,408,509,1130,1592
Cavalcanti,5,5.62,2.44,0.00,1.45,2.83,3.27,1387,182,298,336,817,1369
Centro,1,0.79,0.00,0.00,1.31,1.28,1.32,6678,239,660,1550,2985,6142
CidadedeDeus,7,6.48,1.86,0.00,0.16,3.70,4.81,11975,999,1748,1903,5101,11524
CidadeNova,1,7.46,5.16,0.74,01.08,4.45,5.31,487,359,640,688,449,502
CoelhoNeto,6,1.85,1.98,1.52,0.00,2.69,3.20,3583,380,703,1039,2264,3441
Colégio,5,3.64,2.68,0.00,1.90,4.41,5.20,2758,533,633,653,1705,2872
Copacabana,2,2.78,1.33,1.15,0.43,01.01,01.07,2800,452,1047,1730,3207,2822
Cordovil,4,3.19,02.01,2.47,0.28,2.33,2.73,4350,352,759,1081,2346,4196
CosmeVelho,2,0.98,0.00,0.00,0.00,0.83,0.96,491,45,104,122,265,497
Cosmos,10,5.72,3.21,1.37,0.52,3.73,4.59,9153,1061,1694,2099,5221,8786
CostaBarros,6,9.75,3.37,0.00,1.44,06.04,7.63,6948,1116,1371,1254,3573,7116
Curicica,7,2.52,0.90,1.32,2.53,3.36,3.67,5058,1070,1697,1596,3972,5449
DelCastilho,3,2.11,0.00,0.00,0.51,2.14,2.50,1705,92,321,412,903,1627
Deodoro,6,2.83,1.30,0.00,0.03,1.12,1.37,1055,175,209,214,603,1050
Deodoro,8,2.83,1.30,0.00,0.03,1.12,1.37,1055,175,209,214,603,1050
Encantado,3,4.46,01.03,1.34,0.64,1.79,1.99,1425,55,208,390,719,1359
EngenhodaRainha,3,03.08,2.00,03.02,0.63,2.91,3.24,2430,113,369,583,1174,2321
EngenhodeDentro,3,2.53,1.96,0.53,0.51,2.75,3.20,5076,158,730,1422,2552,4834
EngenhoNovo,3,3.62,1.41,02.04,0.00,1.89,2.19,4316,294,948,1221,2629,4150
Estácio,1,7.46,5.16,0.74,01.08,4.45,5.31,2166,96,123,245,1652,2201
Flamengo,2,2.83,1.73,0.00,0.58,0.46,0.46,411,40,163,387,611,390
"Freguesia,GardêniaAzul",7,3.34,02.03,1.25,0.81,02.05,2.30,1342,501,905,1093,3785,4047
Galeão,11,3.81,1.77,0.00,0.54,4.11,5.20,2529,681,925,655,2000,2790
Gamboa,1,2.51,0.00,1.73,0.35,5.73,7.18,2589,105,242,469,951,2454
Gávea,2,1.64,1.30,0.00,0.00,0.74,0.86,205,28,74,136,251,192
Glória,2,0.76,1.10,0.00,0.00,2.14,2.47,566,58,123,237,434,550
Grajaú,2,4.78,2.50,0.00,0.75,1.52,1.68,1026,216,368,566,1159,1017
Guadalupe,5,3.22,0.72,2.31,0.96,1.42,1.44,5049,925,1306,1841,4118,5003
Guaratiba,10,6.20,1.55,0.27,0.91,5.54,6.94,14775,3031,3569,3445,9202,15618
Higienópolis,3,2.11,0.00,0.00,0.51,2.14,2.50,731,227,257,430,917,728
HonórioGurgel,5,5.30,1.84,0.00,1.34,2.25,2.56,2654,296,539,761,1635,2615
Humaitá,2,0.00,0.00,0.00,0.00,0.30,0.34,68,4,48,130,197,53
IlhadoGovernador,11,2.75,1.78,0.00,1.73,3.36,3.87,0,0,0,0,7,26
Inhaúma,3,3.68,0.00,03.07,0.46,3.37,3.86,2720,191,576,864,1760,2591
Inhoaíba,9,5.85,3.25,02.02,1.69,4.41,5.21,9040,865,1270,1753,4310,8618
Ipanema,2,3.46,03.06,2.12,0.00,0.86,0.91,1014,116,261,360,722,1029
Irajá,6,1.66,0.56,0.29,0.22,1.33,1.55,3852,787,1434,2068,4253,3888
Itacolomi,11,2.75,1.78,0.00,1.73,3.36,3.87,0,0,0,0,0,0
Itanhangá,7,5.49,3.62,0.00,0.33,4.16,5.38,3459,1120,1744,971,3254,4040
Jacaré,3,4.45,2.46,0.86,0.34,2.22,2.61,4628,903,843,1004,2607,4771
Jacarepaguá,6,5.99,1.88,1.23,1.46,5.53,6.80,5774,1918,2865,2201,6093,6665
Jacarezinho,3,5.45,2.32,1.54,1.86,4.19,4.97,2392,305,416,580,1340,2353
Jardim Botânico,2,1.64,1.30,0.00,0.00,0.74,0.86,129,21,71,135,225,131
JardimAméricaManguinhos,4,3.45,3.45,0.00,0.39,1.25,1.50,3514,491,905,1023,2414,3519
JardimCarioca,11,3.63,1.21,0.00,1.35,1.99,2.23,1275,450,707,692,1675,1449
JardimGuanabara,11,0.00,0.00,0.00,0.00,0.74,0.87,145,48,115,246,417,137
JardimSulacape,8,2.83,1.30,0.00,0.03,1.12,1.37,290,46,101,155,327,265
Lagoa,2,0.00,0.00,0.00,0.00,0.51,0.58,35,2,12,43,60,32
Laranjeiras,2,0.98,0.00,0.00,0.00,0.83,0.96,1019,30,133,303,549,936
Leblon,2,0.65,1.00,1.52,0.00,0.37,0.37,208,20,107,243,377,201
Leme,2,8.99,0.00,0.00,0.00,02.07,2.38,558,93,202,252,541,564
LinsdeVasconcelos,3,7.29,4.20,0.07,2.34,2.94,3.20,4454,211,684,959,2095,4213
Madureira,5,2.60,0.95,0.00,1.36,2.42,2.76,5221,532,969,1265,2879,5108
MagalhãesBastos,8,3.21,0.92,1.85,0.00,3.29,4.00,2194,269,528,642,1474,2159
Mangueira,1,11.70,7.18,1.54,1.82,6.88,8.33,6453,100,397,976,2006,5920
Maracanã,2,0.00,0.00,0.00,0.00,0.60,0.70,206,43,134,232,419,196
Maré,4,7.66,3.31,2.36,1.62,7.61,9.52,12931,3019,3997,2741,8828,13860
MarechalHermes,5,3.73,0.00,1.51,0.37,2.29,2.66,2347,423,647,890,2019,2288
MarechalHermes,8,3.73,0.00,1.51,0.37,2.29,2.66,2347,423,647,890,2019,2288
MariadaGraça,3,2.11,0.00,0.00,0.51,2.14,2.50,264,29,82,152,270,257
Méier,3,0.00,0.00,0.99,0.00,1.39,1.57,1593,58,297,741,1204,1485
Moneró,11,2.86,1.45,0.00,0.80,2.91,3.37,2851,22,30,68,113,54
Olaria,4,02.03,0.46,0.76,0.37,1.74,1.99,1741,314,747,1066,2156,2822
OswaldoCruz,5,3.45,1.32,0.00,0.36,1.55,1.82,18271,209,442,641,1365,1668
Paciência,10,6.74,2.68,0.73,0.82,4.39,5.47,6313,1931,2771,3705,8696,17982
Padre Miguel,8,2.79,0.83,0.00,0.65,1.89,2.24,2311,937,1422,1826,4136,6362
ParadadeLucas,4,5.97,3.39,1.81,1.83,4.79,5.76,1595,354,536,620,1474,2347
ParqueAnchieta,6,3.32,2.76,0.00,0.76,02.07,2.43,1533,364,511,866,1684,1652
Pavuna,4,5.33,3.30,1.80,0.56,3.10,3.66,7222,1272,2006,2083,5195,7388
Pavuna,6,5.33,3.30,1.80,0.56,3.10,3.66,7222,1272,2006,2083,5195,7388
Pechincha,7,2.49,0.92,0.00,0.44,0.49,0.52,807,173,343,523,1023,823
PedradeGuaratiba,10,6.20,1.55,0.27,0.91,5.54,6.94,1190,259,425,469,1086,1257
Penha,4,4.66,3.64,01.09,0.80,2.71,3.30,8957,697,1364,1946,4178,8786
Penha,5,4.66,3.64,01.09,0.80,2.71,3.30,8957,697,1364,1946,4178,8786
PenhaCircular,4,1.88,0.79,0.00,1.15,1.70,1.92,4473,443,813,1195,2545,4379
Piedade,3,2.31,2.19,0.00,0.53,1.86,2.17,5146,180,788,1262,2598,4778
Pilares,3,2.20,2.11,0.00,0.00,1.77,2.15,2614,120,427,724,1476,2409
Pitangueiras,11,5.29,3.94,0.00,0.83,2.62,03.03,615,225,302,286,709,719
Portuguesa,11,2.86,1.45,0.00,0.80,2.91,3.37,857,306,467,521,1148,1003
PraçadaBandeira,1,1.72,0.30,0.35,0.15,1.27,1.45,284,59,122,209,397,277
PraçadaBandeira,2,1.72,0.30,0.35,0.15,1.27,1.45,284,59,122,209,397,277
PraçaSeca,7,5.00,1.18,0.44,1.21,2.49,2.83,5295,944,1608,1673,4053,5467
PraiadaBandeira,11,5.29,3.94,0.00,0.83,2.62,03.03,66,24,59,71,149,71
QuintinoBocaiúva,5,1.61,2.39,1.81,1.18,1.75,1.84,1744,198,441,672,1353,1702
Ramos,3,0.90,0.00,0.00,2.25,02.06,2.14,2513,496,846,876,2172,2559
Ramos,4,0.90,0.00,0.00,2.25,02.06,2.14,2513,496,846,876,2172,2559
Realengo,8,4.64,1.64,0.83,0.40,2.50,3.00,16402,2006,3777,4516,10619,16082
RecreiodosBandeirantes,7,2.70,0.40,0.00,01.07,1.73,1.94,2643,566,688,802,1868,2787
Riachuelo,3,4.45,2.46,0.86,0.34,2.22,2.61,437,38,119,248,432,410
RicardodeAlbuquerque,6,3.72,1.18,0.77,0.00,1.84,2.25,2311,439,554,693,1627,2370
"Rio
Comprido",1,9.44,4.25,01.05,1.38,2.99,3.42,3643,651,979,1232,2796,3709
Rocha,3,4.45,2.46,0.86,0.34,2.22,2.61,1393,88,243,313,725,1312
RochaMiranda,5,2.40,01.09,1.63,0.88,1.75,1.90,3791,469,823,1258,2650,3691
Rocinha,2,6.21,2.58,0.00,1.28,6.46,8.45,8185,937,1708,2001,4799,8032
Sampaio,3,4.45,2.46,0.86,0.34,2.22,2.61,1815,106,256,344,792,1729
SantaCruz,10,6.60,3.17,0.52,0.84,4.29,5.37,36200,3145,5642,7338,16674,35651
SantaTeresa,1,2.68,0.78,1.35,0.00,1.75,02.07,3448,361,807,1007,2286,3337
Santíssimo,8,3.63,2.18,1.10,2.14,3.74,4.26,5680,824,986,1464,3333,5621
Santíssimo,9,3.63,2.18,1.10,2.14,3.74,4.26,5680,824,986,1464,3333,5621
"Santo
Cristo",1,2.51,0.00,1.73,0.35,5.73,7.18,2385,124,234,452,931,2264
"São
Cristóvão",1,2.67,2.12,0.00,3.67,4.52,4.92,4106,298,609,1013,2160,3866
SãoConrado,2,4.12,0.69,0.00,0.92,2.90,3.43,177,16,69,90,192,160
Saúde,1,2.51,0.00,1.73,0.35,5.73,7.18,416,16,45,74,159,392
SenadorCamará,8,3.86,1.68,0.33,01.01,3.86,4.74,11155,2710,2508,2846,7314,11905
SenadorVasconcelos,9,1.79,0.00,1.10,0.00,2.51,03.08,2970,256,571,810,1734,2873
Sepetiba,10,05.07,1.82,2.49,0.56,04.08,4.89,12852,522,1193,2086,4415,12238
Tanque,7,4.32,0.77,0.00,0.78,2.90,3.45,3235,678,942,1035,2419,3471
Taquara,7,2.77,1.67,03.09,1.41,2.82,03.03,6671,1308,2524,3045,6603,6945
Tauá,11,3.83,1.55,2.26,0.75,3.95,4.66,1872,611,756,688,1800,2127
Tijuca,2,1.72,0.30,0.35,0.15,1.27,1.45,3767,912,1574,2346,4691,3908
TodososSantos,3,0.59,0.91,0.00,0.00,0.61,0.71,518,23,130,237,432,476
TomasCoelho,3,1.96,2.97,1.33,0.74,3.22,3.79,2272,86,421,503,1109,2173
TomásCoelho,5,1.96,2.97,1.33,0.74,3.22,3.79,2272,86,421,503,1109,2173
Tubiacanga,11,2.75,1.78,0.00,1.73,3.36,3.87,0,0,0,0,0,0
Turiaçu,5,0.46,0.00,0.00,1.44,2.56,2.94,1364,157,253,348,816,1306
Urca,2,2.17,0.84,2.30,0.45,1.21,1.26,43,3,23,78,106,41
VargemGrande,7,6.50,3.41,2.95,1.65,6.18,7.40,1703,405,436,442,1129,1857
VargemPequena,7,6.50,3.41,2.95,1.65,6.18,7.40,3093,625,797,761,1929,3347
VazLobo,5,0.46,0.00,0.00,1.44,2.56,2.94,1348,170,261,346,773,1352
VicenteDeCarvalho,5,2.20,1.80,0.73,1.47,2.68,03.02,1867,371,460,641,1394,1945
Vidigal,2,4.12,0.69,0.00,0.92,2.90,3.43,1805,181,605,622,1466,1747
VigárioGeral,4,6.33,03.07,1.98,1.79,4.51,5.36,4214,510,972,1085,2596,4185
VigárioGeral,5,6.33,03.07,1.98,1.79,4.51,5.36,4214,510,972,1085,2596,4185
ViladaPenha,4,1.71,0.00,0.00,0.00,1.16,1.36,455,120,266,424,814,451
ViladaPenha,5,1.71,0.00,0.00,0.00,1.16,1.36,455,120,266,424,814,451
VilaIsabel,2,2.58,0.88,0.71,0.43,02.06,2.36,3359,532,964,1319,2723,3451
VilaKosmos,5,2.20,1.80,0.73,1.47,2.68,03.02,731,178,319,327,802,753
VilaMilitar,8,2.83,1.30,0.00,0.03,1.12,1.37,222,34,44,64,145,219
VilaValqueire,7,1.26,1.17,3.46,0.64,1.77,1.85,1287,240,468,596,1239,1352
VistaAlegre,5,1.66,0.56,0.29,0.22,1.33,1.55,274,68,156,210,422,286
Zumbi,11,5.29,3.94,0.00,0.83,2.62,03.03,21,18,26,24,59,30
