Designação,Nome,Endereço,Bairro,CRE,Atividade,Telefones,Link cartela,GlobalID,Data_Inauguracao,Designacao_num,Nome_abrev,Cod_microarea_SME
227004,Escola Municipal Rinaldo De Lamare,"Avenida Niemeyer, 776",Rocinha,2,Escola Municipal,,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19405&cmd=load,{52C57AB8-972A-4DAF-B3A9-8B8B689C98F0},,227.004,EM Rinaldo De Lamare,2.10
206024,Escola Municipal Sergio Vieira de Mello,"Rua Adalberto Ferreira, 19",Leblon,2,Escola Municipal,22599444,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19115&cmd=load,{0BC0B627-149C-4EF2-ACE3-7C0B3780AC91},,206.024,EM Sergio Vieira de Mello,2.5
204021,Escola Municipal Senador Corrêa,Rua Esteves Junior Nº 42,Laranjeiras,2,Escola Municipal,2558-3159,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19404&cmd=load,{3ADF744E-9D00-4905-BFB9-9BDF29CAC69D},,204.021,EM Sen. Corrêa,2.1
102004,Escola Municipal Rivadavia Corrêa,"Av. Pres. Vargas, 1.314",Centro,1,Escola Municipal,2253-8064,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11236&cmd=load,{1410326F-9585-42C0-BCD6-DA28D3601A10},,102.004,EM Rivadavia Corrêa,1.6
107501,Escola Municipal Edmundo Bittencourt,"Rua Lopes Trovão, 287",Benfica,1,Escola Municipal,3860-5150,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11555&cmd=load,{EF28E061-20D6-4CBC-AC2C-E920E4E305EE},,107.501,EM Edmundo Bittencourt,1.2
101009,Escola Municipal Professor Walter Carlos de Magalhães Fraenkel,"Rua Carlos Seidl, 1.141",Caju,1,Escola Municipal,3860-1079,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11230&cmd=load,{8FDEA104-7B9B-4147-9E17-835A4166D22F},,101.009,EM Prof° Walter Carlos de Magalhães Fraenkel,1.1
102505,CIEP José Pedro Varela,"Rua do Lavradio, 133",Centro,1,CIEP,2240-3214,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10787&cmd=load,{1CA9CB48-3B6C-4936-827D-49DD4515DB63},,102.505,CIEP José Pedro Varela,1.7
208002,Escola Municipal Reverendo Martin Luther King,"Rua Joaquim Palhares, 648",Praça da Bandeira,2,Escola Municipal,2273-2544,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10846&cmd=load,{5DC4E294-2384-4D5C-ABDE-4D32DF1D83EF},,208.002,EM Rever. Martin Luther King,2.15
208502,CIEP Doutor Antoine Magarinos Torres Filho,"Rua São Miguel, S/Nº",Tijuca,2,CIEP,2571-2676,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11556&cmd=load,{CD577335-D300-487B-956C-15F52CD1C54D},,208.502,CIEP Dr. Antoine Magarinos Torres Filho,2.11
209013,Escola Municipal Francisco Manuel,"Rua Senador Soares, 61",Vila Isabel,2,Escola Municipal,2570-5449,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10879&cmd=load,{A07AEC42-BF0C-4154-8628-89940359C7A1},,209.013,EM Francisco Manuel,2.15
209021,Escola Municipal Presidente João Goulart,"Rua Barão de Mesquita, 850",Andarai,2,Escola Municipal,2578-7240,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10887&cmd=load,{16EFC3FB-E448-4783-93C1-357B0F8D39F3},,209.021,EM Pres. João Goulart,2.16
209025,Escola Municipal Francisco Campos,"Rua Nossa Senhora de Lourdes, 175",Grajau,2,Escola Municipal,2577-3124,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10891&cmd=load,{E8DBF178-605C-4864-B88D-01762E569F01},,209.025,EM Francisco Campos,2.16
209026,Escola Municipal Professor Lourenço Filho,"Pça. Edmundo Rego, 11",Grajau,2,Escola Municipal,2576-7244,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10892&cmd=load,{C38BDC45-2D1D-4E98-8E6A-62AA65FEF0C5},,209.026,EM Prof° Lourenço Filho,2.14
312012,Escola Municipal Manoel Bomfim,"Rua Braque, 31",Del Castilho,3,Escola Municipal,2281-4448,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11493&cmd=load,{B47DFC4B-B952-408C-AC73-45815CEA797C},,312.012,EM Manoel Bomfim,3.13
312014,Escola Municipal Nereu Sampaio,"Rua Nunes Viana, S/Nº",Inhauma,3,Escola Municipal,2595-1411,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11495&cmd=load,{6D66B79D-AA7A-4BE6-A318-2A7A3CA6C1AB},,312.014,EM Nereu Sampaio,3.18
312019,Escola Municipal Olavo Josino de Salles,"Rua Guarapuava, S/Nº",Inhauma,3,Escola Municipal,2592-1895,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11500&cmd=load,{A5E9D524-AE4E-4BA8-8C4D-84ECF51E6630},,312.019,EM Olavo Josino de Salles,3.18
312502,CIEP Procópio Ferreira,"Praça da Confederação Suíça, S/Nº",Del Castilho,3,CIEP,2581-6024,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11859&cmd=load,{6C8B0386-B7EA-4AD2-9DA3-3D821744101D},,312.502,CIEP Procópio Ferreira,3.14
312503,CIEP Coronel Sarmento,"Av. Itaóca, S/Nº",Inhauma,3,CIEP,2595-6503,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11858&cmd=load,{ABA34DFE-7B5C-41B3-A199-75C511A109C4},,312.503,CIEP Coronel Sarmento,3.19
313020,Escola Municipal Bento Ribeiro,"Rua Cônego Tobias, 112",Meier,3,Escola Municipal,2269-6796,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11838&cmd=load,{7AADCDFC-B07C-446C-A789-1E82180C9DBD},,313.020,EM Bento Ribeiro,3.4
313027,Escola Municipal Jean Mermoz,"Rua São Gabriel, 261",Cachambi,3,Escola Municipal,2501-0904,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11831&cmd=load,{823488AF-A168-42CA-87C3-182E09E7FDDB},,313.027,EM Jean Mermoz,3.13
313044,Escola Municipal João Kopke,"Rua Souza Cerqueira, 63",Piedade,3,Escola Municipal,2595-5591,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11814&cmd=load,{E612325B-D79F-44F7-B3B8-FE5EE9EB5F52},,313.044,EM João Kopke,3.8
328501,CIEP Vinicius de Moraes,"Av. Dom Hélder Câmara, 1.715",Jacarezinho,3,CIEP,2218-5509,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11789&cmd=load,{A472181B-517E-45B8-AF9F-DD71BDD82C82},,328.501,CIEP Vinicius de Moraes,3.12
410502,CIEP Maestro Francisco Mignone,"Rua Itapé, S/Nº",Olaria,4,CIEP,2270-2663,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11289&cmd=load,{E9E3E7EE-0EE4-4AD9-B009-ED81DB8B71ED},,410.502,CIEP Maestro Francisco Mignone,4.15
411009,Escola Municipal Cientista Mário Kroeff,"Rua do Couto, 91",Penha,4,Escola Municipal,2590-3841,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11365&cmd=load,{9019E4B5-0A1F-4A93-B1E4-07A109F19F94},,411.009,EM Cientista Mário Kroeff,4.13
411020,Escola Municipal Grécia,"Av. Brás de Pina, 1.614",Bráz de Pina,4,Escola Municipal,3391-5972,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11355&cmd=load,{961C0E67-839B-4FF1-BCD3-7F4D1205C0A6},,411.020,EM Grécia,5.3
411021,Escola Municipal Miguel Ângelo,"Rua Carlos Chamberland, 187",Penha Circular,4,Escola Municipal,3391-1350,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11354&cmd=load,{132716E0-2D5F-4B8F-9B02-27F2B988F80E},,411.021,EM Miguel Ângelo,5.2
411028,Escola Municipal São Paulo,"Rua Tailândia, 160",Bráz de Pina,4,Escola Municipal,2485-3288,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11347&cmd=load,{91D276A0-FA90-45C4-9AE0-176418FA123A},,411.028,EM São Paulo,4.14
431017,Escola Municipal Cardeal Câmara,"Rua Anamá, 98",Vigário Geral,4,Escola Municipal,3451-9601,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11332&cmd=load,{C33575B2-1999-4636-AEEA-4C64470F7171},,431.017,EM Card. Câmara,4.23
431026,Escola Municipal Herbert Moses,"Rua Cristiano Machado, S/Nº",Jardim America,4,Escola Municipal,3346-3641,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11568&cmd=load,{A7F8FCA5-0EA1-4738-9225-0762A6A44AAD},,431.026,EM Herbert Moses,4.26
514005,Escola Municipal Bolívia,"Pça. Cotegi, 211",Vicente de Carvalho,5,Escola Municipal,3351-8533,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10916&cmd=load,{9E5E388E-F1F1-4EF9-9D3C-AD98560FC14B},,514.005,EM Bolívia,5.5
514020,Escola Municipal José do Patrocínio,"Rua Gustavo de Andrade, 270",Irajá,5,Escola Municipal,3371-9533,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10931&cmd=load,{3C965CE7-E96D-417C-8C7B-FBA05DD1836E},,514.020,EM José do Patrocínio,5.3
514029,Escola Municipal Malba Tahan,"Av. Brasil, 17.221",Irajá,5,Escola Municipal,3371-1769,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10940&cmd=load,{2AED7EBB-2101-4555-A729-DE8EB5DA6092},,514.029,EM Malba Tahan,5.4
515002,Escola Municipal Itália,"Av. dos Italianos, 992",Rocha Miranda,5,Escola Municipal,2473-2422,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10947&cmd=load,{A3A2EFEF-BD86-4784-844E-DD91EE55C6E4},,515.002,EM Itália,5.9
515005,Escola Municipal Oswaldo Aranha,"Pça. Carlos Toledo, 29",Rocha Miranda,5,Escola Municipal,2471-7435,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10950&cmd=load,{981A25E8-486D-4708-9921-33CD543763F7},,515.005,EM Oswaldo Aranha,5.10
515026,Escola Municipal Paraguai,"Pça. Lautaro, 10",Marechal Hermes,5,Escola Municipal,3390-0157,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10971&cmd=load,{C343754B-F3CC-4476-A2C0-9C3917104F72},,515.026,EM Paraguai,5.14
